POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Lasith Malinga,122,122,471.1,3366,170,5/13,19.8,7.14,16.62,6,1
2,Dwayne Bravo,151,148,485.4,4060,167,4/22,24.31,8.35,17.44,2,0
3,Amit Mishra,154,154,540.5,3980,166,5/17,23.97,7.35,19.54,4,1
4,Piyush Chawla,165,164,545.4,4301,157,4/17,27.39,7.88,20.85,2,0
5,Harbhajan Singh,163,160,569.2,4030,150,5/18,26.86,7.07,22.77,1,1
6,Ravichandran Ashwin,167,164,583.0,4032,145,4/34,27.8,6.91,24.12,1,0
7,Sunil Narine,134,133,520.2,3508,143,5/19,24.53,6.74,21.83,7,1
8,Bhuvneshwar Kumar,132,132,491.3,3588,142,5/19,25.26,7.3,20.76,2,1
9,Yuzvendra Chahal,114,113,408.0,3097,139,4/25,22.28,7.59,17.61,2,0
10,Jasprit Bumrah,106,106,403.4,2995,130,4/14,23.03,7.41,18.63,2,0
11,Ravindra Jadeja,200,171,501.1,3816,127,5/16,30.04,7.61,23.67,3,1
12,Umesh Yadav,121,120,420.2,3579,119,4/24,30.07,8.51,21.19,2,0
13,Sandeep Sharma,99,99,366.2,2849,112,4/20,25.43,7.77,19.62,2,0
14,Ashish Nehra,88,88,318.0,2495,106,4/10,23.53,7.84,18.0,1,0
15,Vinay Kumar,105,104,353.3,2966,105,4/40,28.24,8.39,20.2,1,0
16,Zaheer Khan,100,99,366.4,2782,102,4/17,27.27,7.58,21.56,1,0
17,Dale Steyn,95,95,362.4,2508,97,3/8,25.85,6.91,22.43,0,0
18,Axar Patel,109,108,382.3,2762,95,4/21,29.07,7.22,24.15,1,0
19,Chris Morris,81,81,286.4,2295,95,4/23,24.15,8.0,18.1,4,0
20,Rashid Khan,76,76,302.0,1912,93,3/7,20.55,6.33,19.48,0,0
21,Shane Watson,145,105,338.1,2682,92,4/29,29.15,7.93,22.05,1,0
22,Mohit Sharma,86,86,292.2,2470,92,4/14,26.84,8.44,19.06,1,0
23,Praveen Kumar,119,119,420.4,3251,90,3/18,36.12,7.72,28.04,0,0
24,RP Singh,82,82,295.5,2338,90,4/22,25.97,7.9,19.72,2,0
25,Pragyan Ojha,92,90,316.3,2332,89,3/11,26.2,7.36,21.33,0,0
26,Dhawal Kulkarni,92,92,297.5,2474,86,4/14,28.76,8.3,20.77,1,0
27,Albie Morkel,91,87,287.1,2355,85,4/32,27.7,8.2,20.27,1,0
28,Jaydev Unadkat,86,85,296.0,2588,85,5/25,30.44,8.74,20.89,0,2
29,Imran Tahir,59,59,219.2,1703,82,4/12,20.76,7.76,16.04,3,0
30,Irfan Pathan,103,101,340.3,2649,80,3/24,33.11,7.77,25.53,0,0
